MIN;AVG;MAX
50;150;264
36;146;263
48;151;272
48;148;262
32;148;270
55;143;255
50;143;243
54;143;239
54;149;267
55;146;253
54;147;249
50;142;260
43;139;260
45;150;265
51;146;277
52;141;239
37;142;247
56;145;262
51;140;251
50;139;249
28;144;247
54;146;257
53;143;252
58;144;268
37;135;246
56;145;250
51;146;273
52;142;259
48;141;243
36;143;253
54;146;261
42;141;244
54;141;238
50;140;253
52;140;269
36;138;256
53;142;244
36;142;255
36;140;262
52;144;254
56;143;254
54;140;246
52;142;245
53;144;259
35;136;242
35;149;252
52;142;254
37;140;242
48;146;255
26;147;268
36;143;252
56;143;254
50;139;256
54;149;258
53;138;252
37;144;258
54;143;258
37;144;246
43;142;249
36;137;247
